"_id","CustomerId","Address","Age","CellPhone","class_age"
"ObjectId(""6296b1edfc39a43814674a82"")",1001,"Avenida Morales Duárez 488",37,943132014,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a83"")",1002,"Avenida Primavera 1057",34,965828807,">=20|<35"
"ObjectId(""6296b1edfc39a43814674a84"")",1003,"Avenida Paseo de la República 951",42,906699891,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a85"")",1004,"Avenida Perú (Lima) 308",44,942163594,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a86"")",1005,"Avenida Los Conquistadores 1305",46,984099662,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a87"")",1006,"Avenida Juan de Arona 146",45,955546637,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a88"")",1007,"Avenida Escuela Militar 739",36,949369973,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a89"")",1008,"Avenida Edgardo Rebagliati 272",49,961895022,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a8a"")",1009,"Avenida Francisco Javier Mariátegui 1250",40,936630239,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a8b"")",1010,"Avenida Bolivia (Lima) 407",48,998159281,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a8c"")",1011,"Avenida San Felipe 164",47,987240549,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a8d"")",1012,"Avenida Los Héroes (San Juan de Miraflores) 431",33,933149733,">=20|<35"
"ObjectId(""6296b1edfc39a43814674a8e"")",1013,"Avenida Ricardo Palma 1319",41,959280105,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a8f"")",1014,"Avenida Los Frutales 1088",41,976850759,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a90"")",1015,"Avenida San Borja Sur 535",38,965530245,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a91"")",1016,"Avenida Armendáriz 579",49,969458811,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a92"")",1017,"Avenida Gálvez Barrenechea 1274",39,976450830,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a93"")",1018,"Avenida 28 de Julio (Miraflores) 425",49,914124647,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a94"")",1019,"Avenida Caminos del Inca 1314",39,989258530,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a95"")",1020,"Avenida Tingo María 213",45,914386063,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a96"")",1021,"Avenida César Canevaro 634",38,905740260,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a97"")",1022,"Avenida 28 de Julio (Miraflores) 1029",45,990315080,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a98"")",1023,"Avenida Manuel Villarán 828",29,981987577,">=20|<35"
"ObjectId(""6296b1edfc39a43814674a99"")",1024,"Avenida Arenales 892",39,925707915,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a9a"")",1025,"Avenida Guardia Civil (Lima Sur) 349",44,906852580,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a9b"")",1026,"Avenida El Pacífico 613",45,987827159,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a9c"")",1027,"Avenida Fernando Terán 1111",40,958401200,">=35|<45"
"ObjectId(""6296b1edfc39a43814674a9d"")",1028,"Avenida Tomás Marsano 642",45,980930629,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a9e"")",1029,"Avenida José Pardo (Lima) 542",49,988572435,">=45|<50"
"ObjectId(""6296b1edfc39a43814674a9f"")",1030,"Avenida Elmer Faucett 1059",41,905801500,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aa0"")",1031,"Avenida Santa Rosa (San Juan de Lurigancho) 189",44,953608183,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aa1"")",1032,"Avenida Argentina (Lima) 320",47,925549808,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aa2"")",1033,"Avenida San Luis 993",47,967975521,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aa3"")",1034,"Avenida San Juan de Dios 752",44,970374283,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aa4"")",1035,"Avenida Mariano Cornejo 1153",48,986753665,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aa5"")",1036,"Avenida Universitaria 793",45,914205579,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aa6"")",1037,"Avenida Tingo María 1225",48,968018386,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aa7"")",1038,"Avenida Eduardo de Habich 1116",45,978771129,">=45|<50"
